Target,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
T1,NA,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1
T2,2,NA,3,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2
T3,2,1,NA,2,2,3,3,2,2,1,1,2,2,2,2,2,2,2,2,1
T4,2,2,1,NA,3,3,3,2,2,1,1,2,1,3,2,2,2,2,3,2
T5,2,3,2,1,NA,2,1,2,1,2,2,3,1,2,2,3,3,2,3,3
T6,2,2,2,2,1,NA,2,2,2,2,1,3,2,2,1,3,2,1,2,3
T7,2,3,2,1,3,1,NA,3,1,1,1,2,2,2,1,2,2,2,2,3
T8,2,3,2,1,2,2,1,NA,2,2,2,2,2,2,2,3,3,3,3,3
T9,2,3,3,2,1,2,2,3,NA,2,1,2,1,1,1,3,3,3,2,3
T10,2,3,3,2,2,2,2,2,2,NA,1,2,1,2,1,3,2,2,2,3
T11,1,2,3,1,3,1,1,2,2,3,NA,3,2,2,1,3,2,2,2,2
T12,1,3,3,2,2,1,2,2,1,1,1,NA,2,2,1,2,2,2,2,2
T13,2,2,2,2,2,1,1,3,2,2,2,1,NA,1,2,2,2,2,2,3
T14,1,1,2,1,1,2,2,1,2,1,1,2,1,NA,2,2,2,1,2,2
T15,2,2,2,1,2,1,1,1,1,2,1,2,2,3,NA,3,2,2,2,2
T16,2,1,2,2,3,1,1,3,3,3,3,3,1,1,3,NA,1,1,1,1
T17,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,NA,1,2,2
T18,1,1,3,2,2,2,2,3,3,2,1,2,1,1,2,1,2,NA,1,2
T19,2,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,NA,1
T20,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,NA
